name,nickname,wins_x,losses_x,draws_x,height_x,weight_x,reach_x,stance_x,dOB_x,sig_strikes_landed_per_min_x,sig_striking_accuracy_%_x,sig_strike_absorbed_per_min_x,sig_strike_defense(%_of_sig_strikes_not_landed_by_opponent)_x,takedown_average(average_takedown_landed_per_fifteen_min)_x,takedown_accuracy_%_x,takedown_defense(%_of_opponent_takedown_not_landed)_x,sub_average(average_subs_attempted_per_15_mins)_x,wins_y,losses_y,draws_y,height_y,reach_y,age,nation,sig_str_accuracy,sig_str_totals,takedown_accuracy,takedown_totals,sig_str_per_minute,takedown_avg_per_fifteen,sig_str_defense,knockdown_avg,sig_str_absorbed_per_min,submission_avg_per_fifteen,takedown_defense,avg_fight_time,_merge,wins,losses,draws,height,weight_y,reach,stance_y,dOB_y,sig_strikes_landed_per_min_y,sig_striking_accuracy_%_y,sig_strike_absorbed_per_min_y,sig_strike_defense(%_of_sig_strikes_not_landed_by_opponent)_y,takedown_average(average_takedown_landed_per_fifteen_min)_y,takedown_accuracy_%_y,takedown_defense(%_of_opponent_takedown_not_landed)_y,sub_average(average_subs_attempted_per_15_mins)_y
Gegard Mousasi,-,42.0,6.0,2,"6' 2""",185 lbs.,"76""",Orthodox,1-Aug-85,3.75,50%,1.21,68%,1.59,60%,59%,1.1,,,,,,,,,,,,,,,,,,,,left_only,42,6,2,"6' 2""",185 lbs.,"76""",Orthodox,1-Aug-85,3.75,50%,1.21,68%,1.59,60%,59%,1.1
Genki Sudo,Neo-Samurai,15.0,4.0,2,"5' 9""",155 lbs.,--,Orthodox,8-Mar-78,1.55,39%,2.23,33%,3.58,60%,50%,4.2,,,,,,,,,,,,,,,,,,,,left_only,15,4,2,"5' 9""",155 lbs.,--,Orthodox,8-Mar-78,1.55,39%,2.23,33%,3.58,60%,50%,4.2
Gennaro Strangis,-,0.0,1.0,0,--,--,--,,--,0.0,0%,0.0,0%,0.0,0%,0%,0.0,,,,,,,,,,,,,,,,,,,,left_only,0,1,0,--,--,--,,--,0.0,0%,0.0,0%,0.0,0%,0%,0.0
Geoff Neal,Handz of Steel,15.0,5.0,0,"5' 11""",170 lbs.,"75""",Southpaw,28-Aug-90,5.22,50%,5.6,58%,0.51,44%,87%,0.1,,,,,,,,,,,,,,,,,,,,left_only,15,5,0,"5' 11""",170 lbs.,"75""",Southpaw,28-Aug-90,5.22,50%,5.6,58%,0.51,44%,87%,0.1
George Allen,-,13.0,19.0,2,"6' 2""",205 lbs.,--,Open Stance,13-Jan-67,0.8,38%,3.1,43%,0.0,0%,50%,0.0,,,,,,,,,,,,,,,,,,,,left_only,13,19,2,"6' 2""",205 lbs.,--,Open Stance,13-Jan-67,0.8,38%,3.1,43%,0.0,0%,50%,0.0
George Bush,-,5.0,2.0,0,"6' 1""",205 lbs.,--,,--,6.35,64%,2.31,55%,17.31,66%,0%,0.0,,,,,,,,,,,,,,,,,,,,left_only,5,2,0,"6' 1""",205 lbs.,--,,--,6.35,64%,2.31,55%,17.31,66%,0%,0.0
George Hardwick,King,12.0,2.0,0,"5' 10""",155 lbs.,"72""",Orthodox,6-Dec-96,3.6,38%,4.6,71%,0.0,0%,83%,0.0,,,,,,,,,,,,,,,,,,,,left_only,12,2,0,"5' 10""",155 lbs.,"72""",Orthodox,6-Dec-96,3.6,38%,4.6,71%,0.0,0%,83%,0.0
George Pacurariu,Constantine,10.0,5.0,0,"5' 7""",135 lbs.,--,,28-Jul-84,4.69,53%,2.68,63%,5.03,100%,100%,5.0,,,,,,,,,,,,,,,,,,,,left_only,10,5,0,"5' 7""",135 lbs.,--,,28-Jul-84,4.69,53%,2.68,63%,5.03,100%,100%,5.0
George Roop,-,15.0,13.0,1,"6' 1""",135 lbs.,"72""",Orthodox,10-Nov-81,3.43,34%,2.47,60%,1.05,57%,59%,0.1,,,,,,,,,,,,,,,,,,,,left_only,15,13,1,"6' 1""",135 lbs.,"72""",Orthodox,10-Nov-81,3.43,34%,2.47,60%,1.05,57%,59%,0.1
George Sotiropoulos,-,14.0,7.0,0,"5' 10""",155 lbs.,"71""",Orthodox,9-Jul-77,2.61,27%,2.52,67%,2.32,31%,53%,1.6,,,,,,,,,,,,,,,,,,,,left_only,14,7,0,"5' 10""",155 lbs.,"71""",Orthodox,9-Jul-77,2.61,27%,2.52,67%,2.32,31%,53%,1.6
George Stork,-,7.0,9.0,0,"5' 10""",185 lbs.,--,,--,0.0,0%,0.0,0%,0.0,0%,0%,0.0,,,,,,,,,,,,,,,,,,,,left_only,7,9,0,"5' 10""",185 lbs.,--,,--,0.0,0%,0.0,0%,0.0,0%,0%,0.0
George Zuniga,-,3.0,1.0,0,"5' 9""",185 lbs.,--,,--,7.64,38%,5.45,37%,0.0,0%,100%,0.0,,,,,,,,,,,,,,,,,,,,left_only,3,1,0,"5' 9""",185 lbs.,--,,--,7.64,38%,5.45,37%,0.0,0%,100%,0.0
Georgi Karakhanyan,Insane,26.0,7.0,1,"5' 8""",145 lbs.,--,,29-May-85,4.49,39%,5.0,54%,1.41,50%,33%,1.9,,,,,,,,,,,,,,,,,,,,left_only,26,7,1,"5' 8""",145 lbs.,--,,29-May-85,4.49,39%,5.0,54%,1.41,50%,33%,1.9
Gerald Harris,-,23.0,5.0,0,"5' 11""",185 lbs.,"77""",Southpaw,19-Nov-79,1.41,29%,1.58,62%,2.96,54%,72%,0.0,,,,,,,,,,,,,,,,,,,,left_only,23,5,0,"5' 11""",185 lbs.,"77""",Southpaw,19-Nov-79,1.41,29%,1.58,62%,2.96,54%,72%,0.0
Gerald Strebendt,The Finishing Machine,9.0,7.0,0,"5' 9""",155 lbs.,--,Orthodox,1-Mar-79,0.0,0%,4.0,38%,0.0,0%,0%,16.4,,,,,,,,,,,,,,,,,,,,left_only,9,7,0,"5' 9""",155 lbs.,--,Orthodox,1-Mar-79,0.0,0%,4.0,38%,0.0,0%,0%,16.4
Geraldo de Freitas,Spartan,12.0,6.0,0,"5' 7""",135 lbs.,"72""",Orthodox,30-Sep-91,3.67,52%,2.62,50%,3.0,45%,59%,0.0,,,,,,,,,,,,,,,,,,,,left_only,12,6,0,"5' 7""",135 lbs.,"72""",Orthodox,30-Sep-91,3.67,52%,2.62,50%,3.0,45%,59%,0.0
Gerard Gordeau,-,2.0,2.0,0,"6' 5""",216 lbs.,--,Orthodox,30-Mar-59,0.0,0%,0.0,0%,0.0,0%,0%,0.0,,,,,,,,,,,,,,,,,,,,left_only,2,2,0,"6' 5""",216 lbs.,--,Orthodox,30-Mar-59,0.0,0%,0.0,0%,0.0,0%,0%,0.0
Gerric Hayes,-,8.0,11.0,0,"5' 10""",--,--,,--,0.0,0%,0.0,0%,0.0,0%,0%,0.0,,,,,,,,,,,,,,,,,,,,left_only,8,11,0,"5' 10""",--,--,,--,0.0,0%,0.0,0%,0.0,0%,0%,0.0
Gerry Harris,-,1.0,4.0,0,"6' 8""",270 lbs.,--,Orthodox,--,0.0,0%,0.0,0%,0.0,0%,0%,0.0,,,,,,,,,,,,,,,,,,,,left_only,1,4,0,"6' 8""",270 lbs.,--,Orthodox,--,0.0,0%,0.0,0%,0.0,0%,0%,0.0
Gesias Cavalcante,JZ,21.0,10.0,1 (2 NC),"5' 8""",155 lbs.,"71""",Orthodox,6-Jul-83,1.98,35%,3.11,51%,1.25,36%,66%,1.1,,,,,,,,,,,,,,,,,,,,left_only,21,10,1 (2 NC),"5' 8""",155 lbs.,"71""",Orthodox,6-Jul-83,1.98,35%,3.11,51%,1.25,36%,66%,1.1
Geza Kalman,-,4.0,9.0,0,"6' 1""",200 lbs.,--,,--,0.0,0%,0.0,0%,0.0,0%,0%,0.0,,,,,,,,,,,,,,,,,,,,left_only,4,9,0,"6' 1""",200 lbs.,--,,--,0.0,0%,0.0,0%,0.0,0%,0%,0.0
Giacomo Lemos,-,6.0,0.0,0,"6' 3""",247 lbs.,"75""",Orthodox,23-Jun-89,0.0,0%,0.0,0%,0.0,0%,0%,0.0,,,,,,,,,,,,,,,,,,,,left_only,6,0,0,"6' 3""",247 lbs.,"75""",Orthodox,23-Jun-89,0.0,0%,0.0,0%,0.0,0%,0%,0.0
Gian Siqueira,Pitbull,19.0,5.0,0,"6' 1""",170 lbs.,"74""",Orthodox,23-Jun-94,0.8,100%,3.41,19%,0.0,0%,0%,0.0,,,,,,,,,,,,,,,,,,,,left_only,19,5,0,"6' 1""",170 lbs.,"74""",Orthodox,23-Jun-94,0.8,100%,3.41,19%,0.0,0%,0%,0.0
Gian Villante,-,17.0,14.0,0,"6' 3""",230 lbs.,"76""",Orthodox,18-Aug-85,4.38,44%,5.47,55%,0.45,23%,83%,0.0,,,,,,,,,,,,,,,,,,,,left_only,17,14,0,"6' 3""",230 lbs.,"76""",Orthodox,18-Aug-85,4.38,44%,5.47,55%,0.45,23%,83%,0.0
Gideon Ray,-,17.0,15.0,1,"5' 10""",185 lbs.,--,Southpaw,27-May-73,2.08,40%,2.58,53%,1.49,100%,0%,0.0,,,,,,,,,,,,,,,,,,,,left_only,17,15,1,"5' 10""",185 lbs.,--,Southpaw,27-May-73,2.08,40%,2.58,53%,1.49,100%,0%,0.0
Gigo Jara,The Little Animal,6.0,9.0,0,"5' 9""",145 lbs.,--,,--,2.26,57%,2.71,51%,0.0,0%,66%,0.0,,,,,,,,,,,,,,,,,,,,left_only,6,9,0,"5' 9""",145 lbs.,--,,--,2.26,57%,2.71,51%,0.0,0%,66%,0.0
Gil Castillo,-,8.0,5.0,0,"5' 9""",170 lbs.,--,Southpaw,21-Oct-65,0.6,45%,2.22,44%,3.33,45%,50%,0.0,,,,,,,,,,,,,,,,,,,,left_only,8,5,0,"5' 9""",170 lbs.,--,Southpaw,21-Oct-65,0.6,45%,2.22,44%,3.33,45%,50%,0.0
Gilbert Aldana,El Peligro,6.0,2.0,0,"6' 1""",250 lbs.,--,Orthodox,25-Aug-77,2.91,54%,6.26,26%,2.57,40%,33%,0.0,,,,,,,,,,,,,,,,,,,,left_only,6,2,0,"6' 1""",250 lbs.,--,Orthodox,25-Aug-77,2.91,54%,6.26,26%,2.57,40%,33%,0.0
Gilbert Jimenez,-,8.0,12.0,1 (1 NC),--,155 lbs.,--,,--,0.0,0%,0.0,0%,0.0,0%,0%,0.0,,,,,,,,,,,,,,,,,,,,left_only,8,12,1 (1 NC),--,155 lbs.,--,,--,0.0,0%,0.0,0%,0.0,0%,0%,0.0
Gilbert Melendez,El Nino,22.0,8.0,0,"5' 9""",145 lbs.,"73""",Orthodox,12-Apr-82,3.44,33%,2.53,63%,1.64,41%,71%,0.2,,,,,,,,,,,,,,,,,,,,left_only,22,8,0,"5' 9""",145 lbs.,"73""",Orthodox,12-Apr-82,3.44,33%,2.53,63%,1.64,41%,71%,0.2
Gilbert Rael,-,1.0,3.0,0,"5' 8""",155 lbs.,--,,--,0.0,0%,7.46,37%,4.86,100%,0%,0.0,,,,,,,,,,,,,,,,,,,,left_only,1,3,0,"5' 8""",155 lbs.,--,,--,0.0,0%,7.46,37%,4.86,100%,0%,0.0
Gilbert Smith,-,12.0,6.0,0,"5' 9""",185 lbs.,--,Southpaw,19-Oct-81,1.09,41%,2.73,35%,3.51,60%,0%,1.2,,,,,,,,,,,,,,,,,,,,left_only,12,6,0,"5' 9""",185 lbs.,--,Southpaw,19-Oct-81,1.09,41%,2.73,35%,3.51,60%,0%,1.2
Gilles Arsene,-,1.0,1.0,0,"5' 9""",190 lbs.,--,Southpaw,--,0.06,10%,2.45,32%,0.0,0%,0%,0.0,,,,,,,,,,,,,,,,,,,,left_only,1,1,0,"5' 9""",190 lbs.,--,Southpaw,--,0.06,10%,2.45,32%,0.0,0%,0%,0.0
Gisele Moreira,-,8.0,3.0,0,"5' 6""",135 lbs.,--,Orthodox,14-Jan-81,5.93,42%,6.33,48%,4.0,57%,0%,0.0,,,,,,,,,,,,,,,,,,,,left_only,8,3,0,"5' 6""",135 lbs.,--,Orthodox,14-Jan-81,5.93,42%,6.33,48%,4.0,57%,0%,0.0
Glaico Franca Moreira,Nego,15.0,5.0,0,"6' 0""",155 lbs.,"77""",Orthodox,28-Feb-91,2.35,42%,3.46,47%,2.68,42%,76%,0.3,,,,,,,,,,,,,,,,,,,,left_only,15,5,0,"6' 0""",155 lbs.,"77""",Orthodox,28-Feb-91,2.35,42%,3.46,47%,2.68,42%,76%,0.3
Gleison Tibau,-,33.0,14.0,0,"5' 10""",155 lbs.,"71""",Southpaw,7-Oct-83,1.95,31%,2.51,63%,4.08,53%,92%,0.8,,,,,,,,,,,,,,,,,,,,left_only,33,14,0,"5' 10""",155 lbs.,"71""",Southpaw,7-Oct-83,1.95,31%,2.51,63%,4.08,53%,92%,0.8
Gleristone Santos,Toninho Furia,33.0,7.0,0,"5' 9""",145 lbs.,--,,20-Aug-88,3.4,31%,4.4,64%,0.0,0%,75%,0.0,,,,,,,,,,,,,,,,,,,,left_only,33,7,0,"5' 9""",145 lbs.,--,,20-Aug-88,3.4,31%,4.4,64%,0.0,0%,75%,0.0
Glover Teixeira,-,33.0,9.0,0,"6' 2""",205 lbs.,"76""",Orthodox,28-Oct-79,3.73,49%,4.43,51%,2.11,33%,60%,0.9,,,,,,,,,,,,,,,,,,,,left_only,33,9,0,"6' 2""",205 lbs.,"76""",Orthodox,28-Oct-79,3.73,49%,4.43,51%,2.11,33%,60%,0.9
Godofredo Pepey,-,13.0,6.0,0,"5' 7""",145 lbs.,"73""",Orthodox,2-Jul-87,2.32,38%,3.23,47%,0.37,7%,35%,1.5,,,,,,,,,,,,,,,,,,,,left_only,13,6,0,"5' 7""",145 lbs.,"73""",Orthodox,2-Jul-87,2.32,38%,3.23,47%,0.37,7%,35%,1.5
Goiti Yamauchi,-,21.0,3.0,0,"5' 10""",145 lbs.,--,,5-Jan-93,1.66,54%,1.01,66%,0.0,0%,0%,4.3,,,,,,,,,,,,,,,,,,,,left_only,21,3,0,"5' 10""",145 lbs.,--,,5-Jan-93,1.66,54%,1.01,66%,0.0,0%,0%,4.3
Goldman Butler,-,1.0,4.0,0,--,--,--,,--,0.0,0%,0.0,0%,0.0,0%,0%,0.0,,,,,,,,,,,,,,,,,,,,left_only,1,4,0,--,--,--,,--,0.0,0%,0.0,0%,0.0,0%,0%,0.0
Goran Reljic,-,15.0,8.0,0,"6' 3""",205 lbs.,"81""",Southpaw,20-Mar-84,1.69,37%,2.69,59%,1.69,50%,33%,1.1,,,,,,,,,,,,,,,,,,,,left_only,15,8,0,"6' 3""",205 lbs.,"81""",Southpaw,20-Mar-84,1.69,37%,2.69,59%,1.69,50%,33%,1.1
Gray Maynard,-,13.0,7.0,1 (1 NC),"5' 9""",155 lbs.,"70""",Orthodox,9-May-79,1.92,32%,2.64,66%,2.91,47%,81%,0.7,,,,,,,,,,,,,,,,,,,,left_only,13,7,1 (1 NC),"5' 9""",155 lbs.,"70""",Orthodox,9-May-79,1.92,32%,2.64,66%,2.91,47%,81%,0.7
Greg McIntyre,-,6.0,4.0,0,"5' 10""",155 lbs.,--,Orthodox,21-Apr-80,0.79,30%,1.36,41%,5.09,50%,0%,0.0,,,,,,,,,,,,,,,,,,,,left_only,6,4,0,"5' 10""",155 lbs.,--,Orthodox,21-Apr-80,0.79,30%,1.36,41%,5.09,50%,0%,0.0
Greg Nagy,-,1.0,3.0,0,"6' 1""",210 lbs.,--,Orthodox,18-Oct-83,0.41,50%,2.69,37%,0.0,0%,0%,1.2,,,,,,,,,,,,,,,,,,,,left_only,1,3,0,"6' 1""",210 lbs.,--,Orthodox,18-Oct-83,0.41,50%,2.69,37%,0.0,0%,0%,1.2
Greg Scott,-,3.0,4.0,0,"5' 9""",145 lbs.,--,,--,3.9,55%,7.79,37%,11.69,100%,0%,0.0,,,,,,,,,,,,,,,,,,,,left_only,3,4,0,"5' 9""",145 lbs.,--,,--,3.9,55%,7.79,37%,11.69,100%,0%,0.0
Greg Soto,-,9.0,4.0,0,"5' 11""",170 lbs.,"73""",Orthodox,3-Jun-86,3.21,63%,2.61,52%,1.49,27%,44%,1.0,,,,,,,,,,,,,,,,,,,,left_only,9,4,0,"5' 11""",170 lbs.,"73""",Orthodox,3-Jun-86,3.21,63%,2.61,52%,1.49,27%,44%,1.0
Greg Stott,Ranger,0.0,1.0,0,"5' 7""",220 lbs.,--,Southpaw,--,0.0,0%,0.0,0%,0.0,0%,0%,0.0,,,,,,,,,,,,,,,,,,,,left_only,0,1,0,"5' 7""",220 lbs.,--,Southpaw,--,0.0,0%,0.0,0%,0.0,0%,0%,0.0
Greg Velasco,The Viking King,6.0,1.0,0,"6' 2""",265 lbs.,"70""",Southpaw,23-Sep-93,0.0,0%,1.52,0%,0.0,0%,0%,0.0,,,,,,,,,,,,,,,,,,,,left_only,6,1,0,"6' 2""",265 lbs.,"70""",Southpaw,23-Sep-93,0.0,0%,1.52,0%,0.0,0%,0%,0.0
Greg Wilson,-,2.0,3.0,0,--,155 lbs.,--,,2-Oct-88,0.0,0%,0.0,0%,0.0,0%,0%,0.0,,,,,,,,,,,,,,,,,,,,left_only,2,3,0,--,155 lbs.,--,,2-Oct-88,0.0,0%,0.0,0%,0.0,0%,0%,0.0
Gregory Bouchelaghem,-,5.0,4.0,0,"6' 2""",183 lbs.,--,Switch,--,0.27,21%,1.53,36%,0.0,0%,50%,0.0,,,,,,,,,,,,,,,,,,,,left_only,5,4,0,"6' 2""",183 lbs.,--,Switch,--,0.27,21%,1.53,36%,0.0,0%,50%,0.0
Grigory Popov,-,13.0,3.0,0,"5' 7""",135 lbs.,"68""",Switch,18-Apr-84,3.63,37%,4.2,55%,0.0,0%,45%,0.0,,,,,,,,,,,,,,,,,,,,left_only,13,3,0,"5' 7""",135 lbs.,"68""",Switch,18-Apr-84,3.63,37%,4.2,55%,0.0,0%,45%,0.0
Guangyou Ning,Smasher,5.0,4.0,1,"5' 4""",145 lbs.,"64""",Southpaw,15-Dec-81,2.66,41%,1.91,61%,1.09,50%,62%,0.3,,,,,,,,,,,,,,,,,,,,left_only,5,4,1,"5' 4""",145 lbs.,"64""",Southpaw,15-Dec-81,2.66,41%,1.91,61%,1.09,50%,62%,0.3
Gugun Gusman,The Tiger,8.0,4.0,0,"5' 7""",135 lbs.,"68""",Orthodox,3-Mar-90,0.88,27%,6.18,41%,0.0,0%,33%,0.0,,,,,,,,,,,,,,,,,,,,left_only,8,4,0,"5' 7""",135 lbs.,"68""",Orthodox,3-Mar-90,0.88,27%,6.18,41%,0.0,0%,33%,0.0
Guilherme Costa,The Prodigy,7.0,1.0,0,--,155 lbs.,--,,--,0.0,0%,0.0,0%,0.0,0%,0%,0.0,,,,,,,,,,,,,,,,,,,,left_only,7,1,0,--,155 lbs.,--,,--,0.0,0%,0.0,0%,0.0,0%,0%,0.0
Guilherme Viana,-,7.0,3.0,0,"6' 4""",205 lbs.,--,,--,2.92,40%,2.72,59%,1.2,66%,77%,0.0,,,,,,,,,,,,,,,,,,,,left_only,7,3,0,"6' 4""",205 lbs.,--,,--,2.92,40%,2.72,59%,1.2,66%,77%,0.0
Gunnar Nelson,Gunni,19.0,5.0,1,"5' 11""",170 lbs.,"72""",Switch,28-Jul-88,1.84,61%,3.0,49%,1.9,59%,66%,1.0,,,,,,,,,,,,,,,,,,,,left_only,19,5,1,"5' 11""",170 lbs.,"72""",Switch,28-Jul-88,1.84,61%,3.0,49%,1.9,59%,66%,1.0
Gustavo Gabriel,-,13.0,1.0,0,"5' 6""",125 lbs.,--,Orthodox,1-Apr-94,4.06,65%,4.26,46%,0.0,0%,50%,0.0,,,,,,,,,,,,,,,,,,,,left_only,13,1,0,"5' 6""",125 lbs.,--,Orthodox,1-Apr-94,4.06,65%,4.26,46%,0.0,0%,50%,0.0
Gustavo Lopez,-,12.0,6.0,1,"5' 5""",135 lbs.,"67""",Orthodox,27-Jun-89,2.48,40%,3.87,57%,1.74,41%,31%,0.7,,,,,,,,,,,,,,,,,,,,left_only,12,6,1,"5' 5""",135 lbs.,"67""",Orthodox,27-Jun-89,2.48,40%,3.87,57%,1.74,41%,31%,0.7
Guto Inocente,-,7.0,4.0,0,"6' 3""",205 lbs.,--,Orthodox,29-May-86,4.13,66%,2.92,54%,0.67,33%,66%,0.7,,,,,,,,,,,,,,,,,,,,left_only,7,4,0,"6' 3""",205 lbs.,--,Orthodox,29-May-86,4.13,66%,2.92,54%,0.67,33%,66%,0.7
Guy Mezger,-,30.0,14.0,2,"6' 1""",200 lbs.,--,Orthodox,1-Jan-68,2.3,32%,1.36,72%,0.39,50%,88%,0.0,,,,,,,,,,,,,,,,,,,,left_only,30,14,2,"6' 1""",200 lbs.,--,Orthodox,1-Jan-68,2.3,32%,1.36,72%,0.39,50%,88%,0.0
